UID,Stratum,featTyp,spuddate,Date,USUh,n
ALU_104_disturbed,ALU,disturbed,1999-01-01,2001-03-01,0.02625354400295417,5
ALU_28_disturbed,ALU,disturbed,1979-05-04,2001-03-01,0.02672621745078966,5
ALU_102_disturbed,ALU,disturbed,1999-01-01,2001-03-01,0.02731727900304094,5
ALU_101_disturbed,ALU,disturbed,1999-01-01,2001-03-01,0.02932659481817636,5
ALU_103_disturbed,ALU,disturbed,1999-01-01,2001-03-01,0.02778223658108672,5
ALU_39_undisturbed,ALU,undisturbed,NA,2001-03-01,0.02810492220968161,5
ALU_37_undisturbed,ALU,undisturbed,NA,2001-03-01,0.02818173933192387,5
ALU_38_undisturbed,ALU,undisturbed,NA,2001-03-01,0.02843027880228566,5
ALU_43_undisturbed,ALU,undisturbed,NA,2001-03-01,0.02686399129837855,5
ALU_30_undisturbed,ALU,undisturbed,NA,2001-03-01,0.02877610214068691,5
ALU_104_disturbed,ALU,disturbed,1999-01-01,2001-04-01,0.02568056834660358,5
ALU_28_disturbed,ALU,disturbed,1979-05-04,2001-04-01,0.02601583111669954,5
ALU_103_disturbed,ALU,disturbed,1999-01-01,2001-04-01,0.02787947185269178,5
ALU_102_disturbed,ALU,disturbed,1999-01-01,2001-04-01,0.02732414730726735,5
ALU_101_disturbed,ALU,disturbed,1999-01-01,2001-04-01,0.02924931861641525,5
ALU_37_undisturbed,ALU,undisturbed,NA,2001-04-01,0.02782177132690387,5
ALU_43_undisturbed,ALU,undisturbed,NA,2001-04-01,0.02622518118940007,5
ALU_30_undisturbed,ALU,undisturbed,NA,2001-04-01,0.02888591323117753,5
ALU_52_undisturbed,ALU,undisturbed,NA,2001-04-01,0.02701329242351805,5
ALU_34_undisturbed,ALU,undisturbed,NA,2001-04-01,0.0272423874578269,5
ALU_28_disturbed,ALU,disturbed,1979-05-04,2001-05-01,0.02548262681040239,5
ALU_102_disturbed,ALU,disturbed,1999-01-01,2001-05-01,0.0265216123760109,5
ALU_104_disturbed,ALU,disturbed,1999-01-01,2001-05-01,0.02536281308041378,5
